"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1911","impress","動詞/名詞","～に感銘を与える; ～に(…を)印象付ける / 押印、刻印","He impressed his parents by completing not only his tasks but his sister's, too.","自分のやるべきことだけでなく妹の分まで片付けたことで、彼は両親を感心させた。","/imprés/ (動), /ímpres/ (名)","move, touch, inspire, affect","","3"
"1912","deform","動詞","～を変形させる","Wearing badly fitting shoes can deform your feet.","足に合わない靴を履いていると足が変形してしまうことがある。","/difɔ́:rm/","distort, warp","","9"
"1913","consensus","名詞","(意見の)一致、合意、総意","There is a consensus among scientists that current global warming is mostly human-made.","現在の地球温暖化はほぼ人為的なものであることは、科学者の間で合意に達している。","/kənsénsəs/","accord, agreement","conflict, disagreement","5"
"1914","spatial","形容詞","空間の、空間的な、空間認知に関する","The racing driver had excellent dexterity and spatial awareness.","そのレーシングドライバーは器用さと空間認識能力に秀でていた。","/spéiʃəl/","","","8"
"1915","pessimistic","形容詞","悲観主義の、悲観的な、厭世(えんせい)的な","The government issued a pessimistic economic forecast, worrying its citizens.","政府は悲観的な経済予測を打ち出し、市民に不安を呼び起こした。","/pèsəmístik/","cynical, downbeat","optimistic","5"
"1916","actual","形容詞","現実の、実際の; 現実に存在する","The actual number of virus cases is higher than reported.","ウイルス症例の実際の数は報告されているよりも多い。","/ǽktʃuəl/","real, true, existing, concrete, immediate","imaginary","2"
"1917","intimate","形容詞","個人的な、私的な; 親密な、親しい","He was very private and didn't share intimate details about his life.","彼はかなり秘密主義で、自分の生活について個人的な詳しいことは教えてくれなかった。","/íntəmət/","close","","6"
"1918","sensitive","形容詞","敏感な、よく気が回る; 傷つきやすい、感じやすい","His teeth were incredibly sensitive to cold so he avoided ice cream.","彼の歯は冷たいものにひどく敏感だからアイスクリームは食べないようにしていた。","/sénsətiv/","","","3"
"1919","segment","名詞","区分、部分、切片、セグメント","A large segment of the population drinks alcohol every day.","人口の大部分が毎日飲酒している。","/ségmənt/","part, portion, section","","8"
"1920","ultimate","形容詞","最後の、最終の、最終的な、究極の","The author's ultimate dream was to write a best seller.","その作家の究極の夢はベストセラーを執筆することであった。","/ʌ́ltəmət/","","","5"
"1921","outgoing","形容詞","外向的な、社交的な; 退職する、退任する; 出て行く","Sales reps need to be outgoing because they are constantly meeting new customers.","営業担当者は、常に新しい顧客と会うことになるのだから社交的である必要がある。","/àutgóuiŋ/","sociable, social","","7"
"1922","useless","形容詞","役に立たない、無用な、無駄な","The bicycle had a broken wheel, so it was essentially useless.","その自転車はタイヤが破損していたので、まるで使いものにならなかった。","/jú:slis/","futile","useful","3"
"1923","inevitable","形容詞","避けられない、必然的な、必ず起こる","The accident was an inevitable consequence of his dangerous driving.","その事故は彼の危険な運転の当然の帰結だった。","/inévətəbl/","inescapable, unavoidable","","4"
"1924","offend","動詞","～の感情を害する、～を怒らせる; ～に不快感を与える","She was really offended by the comment about her weight.","体重のことを言われて彼女はひどく気分を害した。","/əfénd/","anger, outrage, upset, violate","","3"
"1925","monopoly","名詞","(市場の)独占、専売; 独占企業、専売会社","The company took over its last rival and established a monopoly.","その会社は最後に残った競合を買収して市場独占を成し遂げた。","/mənɔ́pəli/","","","6"
"1926","informative","形容詞","有益な、ためになる、情報を提供する、教育的な","The pamphlet was very informative and told them everything they needed to know.","そのパンフレットはとても情報豊かで、彼らが知るべきことを網羅していた。","/infɔ́:rmətiv/","educational, explanatory, instructional","","8"
"1927","accumulation","名詞","蓄積、ためること; 蓄積物","There was an accumulation of evidence over the years of government corruption.","長年にわたる政府の汚職の証拠が蓄積されていた。","/əkjù:mjuléiʃən/","","","8"
"1928","phenomenon","名詞","現象、事象; 驚くべき出来事、非凡な人","Ancient civilisations used to explain weather phenomena as divine intervention.","古代文明は、気象現象を天の采配で説明していた。","/finɔ́minən/","event, incident, miracle, anomaly","","5"
"1929","fascinate","動詞","～を魅了する、～を引き付ける","The tiny insects fascinated the biologists.","その小さな虫は生物学者たちを魅了した。","/fǽsənèit/","mesmerise, intrigue, captivate, enchant","","6"
"1930","curiosity","名詞","好奇心、興味","After learning more about my ancestors, my curiosity about my homeland increased.","私の先祖についてより詳しく知ったことで、母国に対する興味が高まった。","/kjù:riɔ́səti/","","","4"
"1931","investigate","動詞","～を調査する、調べる、捜査する","The police decided to investigate the numerous unexplained deaths at the hospital.","警察は、その病院での多数の不審死について捜査することを決めた。","/invéstigèit/","examine, enquire, interrogate","","4"
"1932","irregular","形容詞","不規則な、変則的な、不定期の","Doctors often work long, irregular hours.","医者は長時間、不規則に働くことが多い。","/irégjulə/","abnormal, anomalous","regular","6"
"1933","subjective","形容詞","主観の、主観的な","Levels of happiness are subjective and difficult to measure.","幸福の度合いは主観的であり測るのは難しい。","/səbdʒéktiv/","individual, personal","objective","7"
"1934","exploration","名詞","探検、探査","There was great interest in the exploration of the deepest oceans for oil.","石油を求めて深海の探査に大きな関心が寄せられた。","/èkspləréiʃən/","","","5"
"1935","satisfy","動詞","～を満足させる、満たす; ～に納得させる","Many scientific discoveries occur as an attempt to satisfy the curiosity of the scientist.","多くの科学的発見は、学者の好奇心を満たす試みとして発生する。","/sǽtisfài/","fulfil","","3"
