"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1619","notion","名詞","概念","The notion of time is intriguing.","時間の概念は興味深いものです。","","","",""
"1620","conservative","形容詞/名詞","保守的","His views are quite conservative.","彼の意見はかなり保守的です。","","","",""
"1621","journey","名詞","旅","The journey to the mountains was breathtaking.","山への旅は息をのむようでした。","","","",""
"1622","opposition","名詞","反対","The opposition raised several concerns.","野党はいくつかの懸念を提起しました。","","","",""
"1623","relief","名詞","安心","It was a relief to finish the task.","その仕事を終えたのはホッとすることでした。","","","",""
"1624","debt","名詞","借金","Many students are burdened with student debt.","多くの学生が学生ローンの負担を背負っています。","","","",""
"1625","honor","名詞","名誉","It’s an honor to meet you.","お会いできることは光栄です。","","","",""
"1626","outcome","名詞","結果","The outcome was unexpected.","結果は予期しないものでした。","","","",""
"1627","blame","動詞/名詞","非難","Don’t blame others for your mistakes.","あなたのミスのせいで他人を非難しないでください。","","","",""
"1628","explanation","名詞","説明","His explanation was convincing.","彼の説明は説得力がありました。","","","",""
"1629","arise","動詞","発生します","A problem arose during the project.","プロジェクトの途中で問題が生じました。","","","",""
"1630","musical","形容詞/名詞","ミュージカル","The musical performance was mesmerizing.","音楽のパフォーマンスは魅了的でした。","","","",""
"1631","recover","動詞","回復する","He took a week to recover from the flu.","彼はインフルエンザから回復するのに一週間かかりました。","","","",""
"1632","dad","名詞","お父さん","My dad is my hero.","私の父は私のヒーローです。","","","",""
"1633","stretch","動詞/名詞","ストレッチ","Stretch your arms after working for a long time.","長時間働いた後に腕を伸ばしてください。","","","",""
"1634","declare","動詞","宣言する","The president will declare the new policy tomorrow.","大統領は明日、新しい方針を宣言します。","","","",""
"1635","retire","動詞","引退","He plans to retire next year.","彼は来年退職する予定です。","","","",""
"1636","tiny","形容詞","小さい","She found a tiny kitten on the street.","彼女は通りで小さな子猫を見つけました。","","","",""
"1637","careful","形容詞","注意深い","Be careful while crossing the road.","道路を渡るときは注意してください。","","","",""
"1638","suitable","形容詞","適切な","Find a suitable time for the meeting.","会議に適切な時間を見つけてください。","","","",""
"1639","native","形容詞","ネイティブ","English is not my native language.","英語は私の母国語ではありません。","","","",""
"1640","fruit","名詞","フルーツ","I love eating fresh fruit in the summer.","私は夏に新鮮な果物を食べるのが好きです。","","","",""
"1641","analyze","動詞","分析します","We need to analyze the data before drawing conclusions.","結論を出す前にデータを分析する必要があります。","","","",""
"1642","witness","名詞","目撃者","He was a witness to the accident.","彼はその事故の目撃者でした。","","","",""
"1643","mail","名詞","郵便","The mail arrived late today.","今日、郵便物が遅れて届きました。","","","",""
"1644","terrible","形容詞","ひどい","The weather was terrible last night.","昨晩の天気はひどかったです。","","","",""
"1645","researcher","名詞","研究者","The researcher made an important discovery.","研究者は重要な発見をしました。","","","",""
"1646","ordinary","形容詞","普通","It was just an ordinary day.","それはただの普通の日でした。","","","",""
"1647","selection","名詞","選択","The selection of books was impressive.","書籍の選択は印象的でした。","","","",""
"1648","anywhere","副詞","どこでも","You can find these products anywhere.","これらの製品はどこでも見つけることができます。","","","",""
"1649","mental","形容詞","メンタル","Mental health is as important as physical health.","精神の健康は身体の健康と同じくらい重要です。","","","",""
"1650","participant","名詞","参加者","Every participant received a certificate.","すべての参加者に証明書が授与されました。","","","",""
"1651","vision","名詞","ビジョン","His vision for the company is innovative.","彼の会社に対するビジョンは革新的です。","","","",""
"1652","personality","名詞","人格","Her vibrant personality lights up the room.","彼女の鮮やかな性格は部屋を明るくします。","","","",""
"1653","specifically","副詞","具体的には","This tool is specifically designed for that task.","このツールは、そのタスクのために特別に設計されています。","","","",""
